| Paint | PRDII06AA | m3 | 561.7990436895693 | 76.25667323490318 |
| Lumber | PRDB1SAS7 | yrd | 797.0631358048345 | 37.14185140909182 |
| Plumbing | PRDC2T5AT | ft | 385.3723786682465 | 101.90512941174642 |
| Cement | PRD9O3DOA | sack/s | 460 | 69.0086837760464 |
| Lumber | PRDA34OEO | yrd | 455.43643147791994 | 28.70674630241487 |
| Paint | PRDF55CCA | inch3 | 243.393822163421 | 107.61451487127438 |
| Tool | PRD4G6AZZ | pc/s | 112 | 116.41541805467982 |
| Tool | PRDH7A9GG | set/s | 499 | 91.00714705947654 |
| Insulation | PRD8XXIA8 | pair/s | 913 | 129.95356507239444 |
| Roofing | PRD49JMAM | m2 | 162.52183715070072 | 16.035994302722088 |
| Electrical | PRDJJ60A1K | inch | 878.0133987915489 | 116.42694531116796 |
| Lumber | PRD1Y8YA1L | cm | 599.2273690383679 | 125.46798598204727 |
| Electrical | PRD2D14DAM | pc/s | 691.5110274998482 | 54.439062332088746 |
| Plumbing | PRDC1N3A3C | pair/s | 937.1535757363847 | 90.84114736500283 |
| Electrical | PRDB11O4AB | pair/s | 860.5799331825866 | 96.2572872277802 |
| Insulation | PRD6O51OAP | set/s | 754 | 21.578138596783777 |
| Electrical | PRDQ6LL11A | inch | 393.7374769260129 | 69.32029138007496 |
| Lumber | PRDJA71J5R | yrd | 888.6796230672286 | 94.8058548078548 |
| Plumbing | PRDVS681VA | set/s | 737.373257631118 | 74.7445410637119 |
| Paint | PRD9TC31CA | m3 | 801.8643298486726 | 19.996364969737602 |
| Electrical | PRDU2AD01D | ft | 843.4216279660371 | 78.8754603169321 |
| Paint | PRDOAV412O | gal | 244.18774505341355 | 47.31767456097949 |
| Tool | PRD25AIW2I | set/s | 155 | 65.65297269971141 |
| Electrical | PRD6RRA23X | inch | 819.8144101388782 | 48.20150434977195 |
| Cement | PRDB2BA4Y4 | sack/s | 541 | 43.38484861717354 |
| Roofing | PRDA9C5AC2 | ft2 | 731.6047493625019 | 59.98564055777229 |
| Tool | PRD62OBO1A | pc/s | 484 | 122.1479422213716 |
| Lumber | PRDD27CD9A | yrd | 853.5719793917673 | 124.97590598417848 |
| Roofing | PRDD48AU2U | inch2 | 442.12599238970137 | 138.6573427741748 |
| Plumbing | PRD28QEAQ9 | pc/s | 645.6168642490941 | 27.851039697046573 |
| Insulation | PRDN03F6AN | pc/s | 792 | 118.94566949506829 |
| Cement | PRD19GAZ3Z | sack/s | 819 | 16.69544390481245 |
| Electrical | PRDIAHI723 | cm | 674.9741949775085 | 114.21790129918048 |
| Tool | PRDA3QQ3I2 | set/s | 218 | 27.87762880050252 |
| Roofing | PRDX94AXJ3 | cm2 | 795.1996055335383 | 30.232280503746473 |
| Electrical | PRD65T3ATK | yrd | 622.5918409193822 | 111.46083530152735 |
| Tool | PRD6II13LA | set/s | 591 | 116.76983213270653 |
| Tool | PRD8RA73RM | set/s | 269 | 45.43527768807456 |
| Roofing | PRDAV83NV8 | m2 | 378.127366985414 | 106.36432890602005 |
| Insulation | PRD99OEA3E | pc/s | 790 | 32.27268610497212 |
| Electrical | PRD42PTT0A | pc/s | 645.3381613084689 | 106.93107381997046 |
| Tool | PRDQ4DD81A | set/s | 360 | 18.955141784014998 |
| Lumber | PRDGAG4R28 | cm | 249.011430100788 | 88.09818884327329 |
| Lumber | PRDT13STA4 | cm | 709.8510024410053 | 65.46989908904747 |
| Roofing | PRDA4NN9T4 | inch2 | 723.1441533575951 | 145.08025786283488 |
| Cement | PRDA5H94HU | sack/s | 940 | 92.42811755522237 |
| Roofing | PRDW7VW46A | m2 | 379.075549051743 | 77.55980803198361 |
| Lumber | PRDQW3A47Q | ft | 134.137467591394 | 144.87154551158437 |
| Tool | PRDDAD4X88 | set/s | 230 | 84.00919893056783 |
| Paint | PRD2BYA4B9 | mL | 448.82981593525966 | 145.7889457642962 |
| Insulation | PRD58AY0AY | pair/s | 134 | 123.62251280678029 |
| Paint | PRDQQ15A3B | pc/s | 374.93455985873305 | 18.00552308465459 |
| Roofing | PRD55AJ2CJ | yrd2 | 212.82005522748756 | 139.69858856465146 |
| Cement | PRD23AODO5 | sack/s | 480 | 126.3907535604721 |
| Lumber | PRDGGA455E | cm | 934.2741785744468 | 115.29345622584675 |
| Tool | PRDA355CCF | pc/s | 745 | 69.69053393269004 |
| Tool | PRDJJ6G55A | set/s | 724 | 85.25122087920447 |
| Electrical | PRDH58EEA7 | pair/s | 218.40601082841377 | 110.10413640683663 |
| Cement | PRDD3A8D5I | sack/s | 999 | 147.1850905994492 |
| Insulation | PRDU39JA5U | pair/s | 484 | 119.15905694510371 |
| Tool | PRD6AKD8D0 | pc/s | 616 | 106.89207672453833 |
| Paint | PRDA16L5UU | m3 | 724.7541622160317 | 104.33996514699922 |
| Plumbing | PRDM4J6A2J | pc/s | 515.4324471286619 | 35.86839321991327 |
| Tool | PRD3AAAN68 | pc/s | 849 | 143.14442322734217 |
| Roofing | PRD6Z4ZO9A | cm2 | 445.0461474656142 | 127.84389602211638 |
| Lumber | PRDAA96P5A | cm | 590.9084248251378 | 83.7999994410165 |
| Roofing | PRDA6Q6AA9 | m2 | 750.5210325909916 | 69.81035949166224 |
| Plumbing | PRD67RA1RR | ft | 899.654597319383 | 132.60935591435086 |
| Paint | PRD6S8DA8D | yrd3 | 582.2945166607747 | 110.14243515692134 |
| Insulation | PRDZA926ZT | set/s | 971 | 79.14637048108641 |
| Plumbing | PRD76U0BBA | cm | 443.69624206976147 | 92.66382940975626 |
| Insulation | PRDVV7A1V8 | set/s | 651 | 137.80481551501381 |
| Insulation | PRD78IA2WI | pc/s | 401 | 149.9673862218386 |
| Cement | PRD7A3XII1 | sack/s | 777 | 90.29008438351379 |
| Lumber | PRDY7Y4A1Y | cm | 397.35452483081474 | 78.05104243280212 |
| Paint | PRD5AXA7X8 | gal | 117.13141143656698 | 26.993207703648473 |
| Electrical | PRD7AQ7BQ6 | cm | 659.5945354499196 | 113.5826167887164 |
| Lumber | PRDAA9C77A | ft | 553.6722181719846 | 105.1060740159945 |
| Lumber | PRD8IA7D6I | inch | 409.3980438032513 | 95.38929849282363 |
| Roofing | PRDA5EM79M | yrd2 | 730.8905950374922 | 78.44671046197111 |
| Electrical | PRDA09T8FT | pair/s | 420.6345372974624 | 70.3142610041886 |
| Cement | PRDO11O8GA | sack/s | 917 | 63.62062321663019 |
| Plumbing | PRDHCC8A26 | yrd | 155.45238779592123 | 130.44127802927488 |
| Tool | PRD3AJI7J8 | pc/s | 483 | 29.286168650291376 |
| Electrical | PRDT4J82TA | pc/s | 919.1729889927111 | 99.56987950776765 |
| Insulation | PRD8R2ARK5 | pc/s | 114 | 88.00778560018674 |
| Electrical | PRDIA3IL86 | inch | 806.9083084217131 | 63.19177560445534 |
| Tool | PRD7MRRA87 | pc/s | 218 | 139.56478288711594 |
| Paint | PRD8A8AA9N | pair/s | 337.62873477524903 | 32.90908873586136 |
| Plumbing | PRD9AA7AO8 | m | 328.4782782194226 | 17.23473557743568 |
| Plumbing | PRD903GGPA | m | 256.3540540738495 | 16.769669845502463 |
| Roofing | PRDQ9FF21A | m2 | 754.5446557361208 | 94.70341996259359 |
| Lumber | PRDY5A9R2Y | yrd | 272.18487637298654 | 93.78603457623097 |
| Tool | PRD3A8SI9I | pc/s | 125 | 100.4993995809691 |
| Cement | PRD94A9TYY | sack/s | 162 | 144.84563423227718 |
| Insulation | PRDKU9A95K | pc/s | 181 | 19.980405769815242 |
| Plumbing | PRD6V9O3OA | m | 282.14529037452957 | 62.798457120630715 |
| Insulation | PRDI9IAW47 | pc/s | 314 | 69.77285647872137 |
| Cement | PRD8A8X9PP | sack/s | 401 | 37.841702900355386 |
| Roofing | PRD0BJY2JA | m2 | 265.02213268360833 | 38.54127048234762 |
| Electrical | PRD1ATT2 | ft | 433.84884473792476 | 148.4656245518773 |
| Roofing | PRDJJ22B | yrd2 | 795.6723056274689 | 45.838294866540295 |
| Cement | PRD3CG7G | sack/s | 741 | 32.26242214516818 |
| Tool | PRDFDF64 | set/s | 761 | 119.99615101747426 |
| Insulation | PRD58RRE | pc/s | 473 | 17.359614715154645 |
| Insulation | PRDYY6F3 | pc/s | 640 | 97.84222434248052 |
| Tool | PRD7G6NN | set/s | 373 | 127.26332818131931 |
| Roofing | PRDH8BB8 | inch2 | 852.3817119076726 | 61.60251907210998 |
| Tool | PRDO92IO | set/s | 797 | 58.22660759577871 |
| Plumbing | PRDJ9B0B1 | yrd | 237.50596090912657 | 150.4437262695993 |
| Insulation | PRDSSK119 | set/s | 88 | 120.27237168396948 |
| Tool | PRDYL3Y12 | pc/s | 288 | 127.87519672515121 |
| Cement | PRDP31PM3 | sack/s | 526 | 81.6856400534591 |
| Plumbing | PRDSS1N34 | set/s | 927.1638769295329 | 69.08123006297163 |
| Electrical | PRDO1U51U | inch | 712.4282638255152 | 89.0801300687138 |
| Plumbing | PRD651YYP | yrd | 431.8016901460286 | 37.82791000019268 |
| Insulation | PRD761MMQ | pc/s | 201 | 80.92858875267744 |
| Insulation | PRD88R1EE | set/s | 520 | 138.74481726123307 |
| Electrical | PRD8U91US | ft | 89.57706979969242 | 143.1810029438815 |
| Plumbing | PRDX2T10X | ft | 455.13535177830755 | 84.67302034157434 |
| Electrical | PRDUT12T4 | ft | 232.1908821808284 | 33.880337128670696 |
| Electrical | PRD8V2VV2 | inch | 548.1454156433872 | 71.5516209884592 |
| Tool | PRDP2W93P | pc/s | 556 | 116.83905567480015 |
| Tool | PRD2Z4ZX2 | set/s | 191 | 97.5739270232279 |
| Paint | PRDC52C5Y | ft3 | 269.37227974259304 | 66.83415547722763 |
| Lumber | PRDI6I62A | ft | 683.0645262338337 | 73.96040983091595 |
| Plumbing | PRDB97E2E | yrd | 195.8742740880238 | 130.63015102912718 |
| Plumbing | PRDC1C8C2 | pc/s | 439.6308834385776 | 26.54904788350452 |
| Lumber | PRD2DBB39 | inch | 273.7820545074543 | 128.47499692442153 |
| Insulation | PRD2B0EB3 | pc/s | 321 | 150.83716879726808 |
| Plumbing | PRDMF1M13 | cm | 553.487023099805 | 137.68986260752803 |
| Cement | PRDR32RG6 | sack/s | 231 | 112.79530553513007 |
| Tool | PRD3WW73H | pc/s | 474 | 82.73892327433282 |
| Lumber | PRDIKK433 | cm | 154.36476563363914 | 117.6752056030426 |
| Insulation | PRDW52JW3 | pc/s | 571 | 113.11971325552729 |
