| Roofing | PRDA8TA0T | ft2 | 752.3649647783143 | 27.92895389227197 |
| Cement | PRDH51BHA | sack/s | 158 | 118.41272235579737 |
| Tool | PRD2C5AUU | set/s | 354 | 60.25171431801972 |
| Electrical | PRDG23DGA | pair/s | 451.0174272228593 | 84.05395207829456 |
| Lumber | PRD4DDAE8 | ft | 343.05947773461344 | 137.48288732321566 |
| Insulation | PRD8AZFZ5 | set/s | 299 | 125.54104883972438 |
| Cement | PRDGSS46A | sack/s | 253 | 22.472268751838502 |
| Plumbing | PRD5WW7AH | cm | 406.2829542858529 | 125.90067891817966 |
| Cement | PRD8WIAW4 | sack/s | 912 | 107.3195225836711 |
| Paint | PRDAJH97H | pc/s | 668.0467270762176 | 99.70712906430572 |
| Electrical | PRDNK5A1N0 | ft | 89.59037672421991 | 142.27361264243103 |
| Cement | PRD131LMMA | sack/s | 923 | 119.87204797564686 |
| Roofing | PRDAZ192MZ | m2 | 385.87337662002585 | 115.5090610438143 |
| Electrical | PRD3JN1AJ2 | ft | 835.3542106915166 | 64.0542596512109 |
| Plumbing | PRD18KAOK4 | set/s | 189.61723157252453 | 64.30124534423935 |
| Roofing | PRDZ1Z55AP | cm2 | 916.6542238501532 | 146.50589941038675 |
| Electrical | PRD5L6LA1Q | inch | 227.85755014495803 | 133.30269979859688 |
| Cement | PRDLL17AR1 | sack/s | 614 | 73.5864400877259 |
| Paint | PRDAPS58P1 | yrd3 | 225.39140201939438 | 87.41274974625381 |
| Plumbing | PRDTA9YY15 | pair/s | 570.7370163393823 | 85.77116738005112 |
| Insulation | PRD92QA0UQ | pair/s | 115 | 76.44901536483977 |
| Tool | PRDFA1F2V9 | pc/s | 223 | 48.452464594308616 |
| Roofing | PRDWY2Y62A | ft2 | 900.3439720310521 | 119.53635294234674 |
| Cement | PRD382XYYA | sack/s | 469 | 106.69692920366467 |
| Roofing | PRD427YRAR | cm2 | 964.9683869637317 | 87.9679167857139 |
| Cement | PRDRAA525R | sack/s | 999 | 53.21747158508607 |
| Electrical | PRDB6Y1A2Y | pc/s | 935.7682974912753 | 142.53365366301054 |
| Plumbing | PRD2R7CA7R | pc/s | 548.3038437880559 | 45.17965102535557 |
| Paint | PRDD5TT82A | mL | 344.58821467882365 | 77.92231266409316 |
| Insulation | PRDA9HH72E | pair/s | 868 | 143.39701754438724 |
